animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomus,fins,legs,Tail,domestic,catsize,type
aardvark,1,false,false,true,false,false,ture,ture,ture,ture,false,false,4,false,false,ture,1
antelope,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,ture,1
bass,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,false,4
bear,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,false,false,ture,1
boar,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
buffalo,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,ture,1
calf,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,ture,ture,1
carp,false,false,true,false,false,true,false,ture,ture,false,false,ture,0,ture,ture,false,4
catfish,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,false,4
cavy,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,false,ture,false,1
cheetah,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
chicken,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,ture,false,2
chub,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,false,4
clam,false,false,true,false,false,false,ture,false,false,false,false,false,0,false,false,false,7
crab,false,false,true,false,false,true,ture,false,false,false,false,false,4,false,false,false,7
crayfish,false,false,true,false,false,true,ture,false,false,false,false,false,6,false,false,false,7
crow,false,true,true,false,true,false,ture,false,ture,ture,false,false,2,ture,false,false,2
deer,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,ture,1
dogfish,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,ture,4
dolphin,false,false,false,true,false,true,ture,ture,ture,ture,false,ture,0,ture,false,ture,1
dove,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,ture,false,2
duck,false,true,true,false,true,true,false,false,ture,ture,false,false,2,ture,false,false,2
elephant,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,ture,1
flamingo,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,false,ture,2
flea,false,false,true,false,false,false,false,false,false,ture,false,false,6,false,false,false,6
frog,false,false,true,false,false,true,ture,ture,ture,ture,false,false,4,false,false,false,5
frog,false,false,true,false,false,true,ture,ture,ture,ture,ture,false,4,false,false,false,5
fruitbat,true,false,false,true,true,false,false,ture,ture,ture,false,false,2,ture,false,false,1
giraffe,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,ture,1
girl,true,false,false,true,false,false,ture,ture,ture,ture,false,false,2,false,ture,ture,1
gnat,false,false,true,false,true,false,false,false,false,ture,false,false,6,false,false,false,6
goat,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,ture,ture,1
gorilla,true,false,false,true,false,false,false,ture,ture,ture,false,false,2,false,false,ture,1
gull,false,true,true,false,true,true,ture,false,ture,ture,false,false,2,ture,false,false,2
haddock,false,false,true,false,false,true,false,ture,ture,false,false,ture,0,ture,false,false,4
hamster,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,ture,false,1
hare,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,false,1
hawk,false,true,true,false,true,false,ture,false,ture,ture,false,false,2,ture,false,false,2
herring,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,false,4
honeybee,true,false,true,false,true,false,false,false,false,ture,ture,false,6,false,ture,false,6
housefly,true,false,true,false,true,false,false,false,false,ture,false,false,6,false,false,false,6
kiwi,false,true,true,false,false,false,ture,false,ture,ture,false,false,2,ture,false,false,2
ladybird,false,false,true,false,true,false,ture,false,false,ture,false,false,6,false,false,false,6
lark,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,false,false,2
leopard,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
lion,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
lobster,false,false,true,false,false,true,ture,false,false,false,false,false,6,false,false,false,7
lynx,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
mink,true,false,false,true,false,true,ture,ture,ture,ture,false,false,4,ture,false,ture,1
mole,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,false,1
mongoose,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
moth,true,false,true,false,true,false,false,false,false,ture,false,false,6,false,false,false,6
newt,false,false,true,false,false,true,ture,ture,ture,ture,false,false,4,ture,false,false,5
octopus,false,false,true,false,false,true,ture,false,false,false,false,false,8,false,false,ture,7
opossum,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,false,1
oryx,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,false,ture,1
ostrich,false,true,true,false,false,false,false,false,ture,ture,false,false,2,ture,false,ture,2
parakeet,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,ture,false,2
penguin,false,true,true,false,false,true,ture,false,ture,ture,false,false,2,ture,false,ture,2
pheasant,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,false,false,2
pike,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,ture,4
piranha,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,false,4
pitviper,false,false,true,false,false,false,ture,ture,ture,ture,ture,false,0,ture,false,false,3
platypus,true,false,true,true,false,true,ture,false,ture,ture,false,false,4,ture,false,ture,1
polecat,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
pony,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,ture,ture,1
porpoise,false,false,false,true,false,true,ture,ture,ture,ture,false,ture,0,ture,false,ture,1
puma,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
pussycat,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,ture,ture,1
raccoon,true,false,false,true,false,false,ture,ture,ture,ture,false,false,4,ture,false,ture,1
reindeer,true,false,false,true,false,false,false,ture,ture,ture,false,false,4,ture,ture,ture,1
rhea,false,true,true,false,false,false,ture,false,ture,ture,false,false,2,ture,false,ture,2
scorpion,false,false,false,false,false,false,ture,false,false,ture,ture,false,8,ture,false,false,7
seahorse,false,false,true,false,false,true,false,ture,ture,false,false,ture,0,ture,false,false,4
seal,true,false,false,true,false,true,ture,ture,ture,ture,false,ture,0,false,false,ture,1
sealion,true,false,false,true,false,true,ture,ture,ture,ture,false,ture,2,ture,false,ture,1
seasnake,false,false,false,false,false,true,ture,ture,ture,false,ture,false,0,ture,false,false,3
seawasp,false,false,true,false,false,true,ture,false,false,false,ture,false,0,false,false,false,7
skimmer,false,true,true,false,true,true,ture,false,ture,ture,false,false,2,ture,false,false,2
skua,false,true,true,false,true,true,ture,false,ture,ture,false,false,2,ture,false,false,2
slowworm,false,false,true,false,false,false,ture,ture,ture,ture,false,false,0,ture,false,false,3
slug,false,false,true,false,false,false,false,false,false,ture,false,false,0,false,false,false,7
sole,false,false,true,false,false,true,false,ture,ture,false,false,ture,0,ture,false,false,4
sparrow,false,true,true,false,true,false,false,false,ture,ture,false,false,2,ture,false,false,2
squirrel,true,false,false,true,false,false,false,ture,ture,ture,false,false,2,ture,false,false,1
starfish,false,false,true,false,false,true,ture,false,false,false,false,false,5,false,false,false,7
stingray,false,false,true,false,false,true,ture,ture,ture,false,ture,ture,0,ture,false,ture,4
swan,false,true,true,false,true,true,false,false,ture,ture,false,false,2,ture,false,ture,2
termite,false,false,true,false,false,false,false,false,false,ture,false,false,6,false,false,false,6
toad,false,false,true,false,false,true,false,ture,ture,ture,false,false,4,false,false,false,5
tortoise,false,false,true,false,false,false,false,false,ture,ture,false,false,4,ture,false,ture,3
tuatara,false,false,true,false,false,false,ture,ture,ture,ture,false,false,4,ture,false,false,3
tuna,false,false,true,false,false,true,ture,ture,ture,false,false,ture,0,ture,false,ture,4
vampire,true,false,false,true,true,false,false,ture,ture,ture,false,false,2,ture,false,false,1
